dataset,method_a,method_b,jaccard_topk,spearman_rank,delta_l2
data_wgs,ig_boundarycrawler,ig_gs,0.7015,0.377,0.32246546059800857
data_wgs,ig_boundarycrawler,ks_boundarycrawler,0.9755,0.951,0.028792621418635568
data_wgs,ig_boundarycrawler,ks_gs,0.694,0.411,0.32507353292359764
data_wgs,ig_boundarycrawler,ks_zero,0.5715,0.071,4.349916099758586
data_wgs,ig_boundarycrawler,lime_boundarycrawler,0.957,0.92,0.06752546710471506
data_wgs,ig_boundarycrawler,lime_gs,0.672,0.366,0.3317055571040837
data_wgs,ig_boundarycrawler,lime_zero,0.57,0.073,4.280091048654169
data_wgs,ig_gs,ks_boundarycrawler,0.7,0.366,0.3234922565089073
data_wgs,ig_gs,ks_gs,0.8045,0.68,0.016354078212603217
data_wgs,ig_gs,ks_zero,0.553,0.048,4.448530457307585
data_wgs,ig_gs,lime_boundarycrawler,0.6925,0.363,0.30571460890587876
data_wgs,ig_gs,lime_gs,0.8105,0.637,0.038129528763339145
data_wgs,ig_gs,lime_zero,0.5545,0.046,4.379108528114779
data_wgs,ig_zero,ig_boundarycrawler,0.528,0.084,4.276277566666017
data_wgs,ig_zero,ig_gs,0.5265,0.035,4.380166200732813
data_wgs,ig_zero,ks_boundarycrawler,0.5225,0.073,4.275910239578691
data_wgs,ig_zero,ks_gs,0.519,0.027,4.37860468192352
data_wgs,ig_zero,ks_zero,0.8875,0.775,0.8908422186252283
data_wgs,ig_zero,lime_boundarycrawler,0.525,0.074,4.293352619362995
data_wgs,ig_zero,lime_gs,0.526,-0.02,4.389407605808694
data_wgs,ig_zero,lime_zero,0.888,0.779,0.9099184057292296
data_wgs,ks_boundarycrawler,ks_gs,0.6995,0.416,0.3188661558094409
data_wgs,ks_zero,ks_boundarycrawler,0.569,0.066,4.348500292220619
data_wgs,ks_zero,ks_gs,0.5565,0.03,4.447169323748909
data_wgs,lime_boundarycrawler,ks_boundarycrawler,0.9785,0.963,0.05305618542036973
data_wgs,lime_boundarycrawler,ks_gs,0.691,0.409,0.3019694562082037
data_wgs,lime_boundarycrawler,ks_zero,0.5635,0.071,4.365658325928264
data_wgs,lime_boundarycrawler,lime_gs,0.695,0.412,0.2905031261554977
data_wgs,lime_gs,ks_boundarycrawler,0.6755,0.379,0.32655295187514277
data_wgs,lime_gs,ks_gs,0.695,0.583,0.030650307994819378
data_wgs,lime_gs,ks_zero,0.5195,0.059,4.458054715494625
data_wgs,lime_zero,ks_boundarycrawler,0.5675,0.068,4.2787271129749715
data_wgs,lime_zero,ks_gs,0.554,0.03,4.377697206649423
data_wgs,lime_zero,ks_zero,0.9915,0.986,0.16932474744389764
data_wgs,lime_zero,lime_boundarycrawler,0.561,0.073,4.2955834224238645
data_wgs,lime_zero,lime_gs,0.519,0.059,4.388420458725188
