dataset,method_a,method_b,jaccard_topk,spearman_rank,delta_l2
data_wgs,ig_boundarycrawler,ig_gs,0.895,0.79,0.950023506104917
data_wgs,ig_boundarycrawler,ks_boundarycrawler,0.9675,0.935,0.1926022486840202
data_wgs,ig_boundarycrawler,ks_gs,0.8975,0.795,0.9876907363091596
data_wgs,ig_boundarycrawler,ks_zero,0.6925,0.49,7.163474576473236
data_wgs,ig_boundarycrawler,lime_boundarycrawler,0.9675,0.935,0.2171174578089267
data_wgs,ig_boundarycrawler,lime_gs,0.895,0.79,0.9877603468345478
data_wgs,ig_boundarycrawler,lime_zero,0.6975,0.485,6.98436953663826
data_wgs,ig_gs,ks_boundarycrawler,0.8975,0.795,0.9726798082847381
data_wgs,ig_gs,ks_gs,0.9775,0.955,0.21021084271882273
data_wgs,ig_gs,ks_zero,0.6975,0.53,7.117803170680999
data_wgs,ig_gs,lime_boundarycrawler,0.8975,0.795,0.9786720669385978
data_wgs,ig_gs,lime_gs,0.975,0.95,0.23876997916493564
data_wgs,ig_gs,lime_zero,0.7025,0.525,6.9388712584972385
data_wgs,ig_zero,ig_boundarycrawler,0.705,0.515,7.233258764743805
data_wgs,ig_zero,ig_gs,0.71,0.555,7.2228676176071165
data_wgs,ig_zero,ks_boundarycrawler,0.7225,0.57,7.225306941270828
data_wgs,ig_zero,ks_gs,0.7125,0.55,7.220152140855789
data_wgs,ig_zero,ks_zero,0.9625,0.935,1.1337926729211176
data_wgs,ig_zero,lime_boundarycrawler,0.7225,0.57,7.223507548570633
data_wgs,ig_zero,lime_gs,0.715,0.555,7.2168102300167085
data_wgs,ig_zero,lime_zero,0.9525,0.93,1.2060509615531192
data_wgs,ks_boundarycrawler,ks_gs,0.905,0.81,0.9349693623709027
data_wgs,ks_zero,ks_boundarycrawler,0.705,0.535,7.145902242660522
data_wgs,ks_zero,ks_gs,0.7,0.525,7.099789489507675
data_wgs,lime_boundarycrawler,ks_boundarycrawler,1.0,1.0,0.07055488129262813
data_wgs,lime_boundarycrawler,ks_gs,0.905,0.81,0.9459988464973867
data_wgs,lime_boundarycrawler,ks_zero,0.705,0.535,7.1430442798137666
data_wgs,lime_boundarycrawler,lime_gs,0.9075,0.815,0.93028593496565
data_wgs,lime_gs,ks_boundarycrawler,0.9075,0.815,0.9358149792673066
data_wgs,lime_gs,ks_gs,0.9975,0.995,0.07422728154924699
data_wgs,lime_gs,ks_zero,0.7025,0.53,7.095925840139389
data_wgs,lime_zero,ks_boundarycrawler,0.71,0.53,6.9669091868400574
data_wgs,lime_zero,ks_gs,0.705,0.52,6.9206504476070405
data_wgs,lime_zero,ks_zero,0.985,0.995,0.2695425801328383
data_wgs,lime_zero,lime_boundarycrawler,0.71,0.53,6.964324195384979
data_wgs,lime_zero,lime_gs,0.7075,0.525,6.917083973884583
