idx,y,crawler_success,gs_success,gs_radius_found,angle_x_crawler_gs_deg,sphere_frac,sphere_vol,dist_x_to_crawler,dist_x_to_gs,dist_crawler_to_gs,ring_n,ring_r_min,ring_r_max,ring_count_y0,ring_count_y1,ring_count_pred0,ring_count_pred1
0,0.0,True,True,12.739999999999773,51.5715363911501,0.0,0.0,9.581751823425293,12.73475456237793,10.114468574523926,0,9.581751823425293,12.739999999999773,0,0,0,0
1,0.0,True,True,10.729999999999816,53.290118281274,0.0,0.0,8.7985200881958,10.724594116210938,8.923020362854004,0,8.7985200881958,10.729999999999816,0,0,0,0
2,1.0,True,False,inf,,0.0,0.0,15.711584091186523,0.0,15.711584091186523,0,,,0,0,0,0
3,1.0,True,False,inf,,0.0,0.0,13.685811042785645,0.0,13.685811042785645,0,,,0,0,0,0
4,1.0,True,False,inf,,0.0,0.0,12.561945915222168,0.0,12.561945915222168,0,,,0,0,0,0
5,0.0,True,True,11.729999999999794,32.4204339670237,0.0,0.0,9.815942764282227,11.723493576049805,6.285804271697998,0,9.815942764282227,11.729999999999794,0,0,0,0
6,0.0,True,True,12.329999999999782,45.957563304807366,0.0,0.0,10.691473960876465,12.322134017944336,9.108853340148926,0,10.691473960876465,12.329999999999782,0,0,0,0
7,0.0,True,True,11.279999999999804,54.33303856944609,0.0,0.0,9.048956871032715,11.270934104919434,9.485893249511719,0,9.048956871032715,11.279999999999804,0,0,0,0
8,0.0,True,True,12.40999999999978,48.70036158873253,0.0,0.0,9.680506706237793,12.405795097351074,9.438862800598145,0,9.680506706237793,12.40999999999978,0,0,0,0
9,0.0,True,True,9.859999999999834,39.60890949656929,0.0,0.0,7.2543535232543945,9.852307319641113,6.290257453918457,0,7.2543535232543945,9.859999999999834,0,0,0,0
10,0.0,True,True,12.139999999999786,52.11257797802034,0.0,0.0,8.948071479797363,12.133339881896973,9.692143440246582,0,8.948071479797363,12.139999999999786,0,0,0,0
11,1.0,True,False,inf,,0.0,0.0,13.31027889251709,0.0,13.31027889251709,0,,,0,0,0,0
12,1.0,True,False,inf,,0.0,0.0,11.50714111328125,0.0,11.50714111328125,0,,,0,0,0,0
13,0.0,True,True,9.459999999999843,56.937083908713795,0.0,0.0,8.103354454040527,9.45106029510498,8.451225280761719,0,8.103354454040527,9.459999999999843,0,0,0,0
14,1.0,True,False,inf,,0.0,0.0,14.157949447631836,0.0,14.157949447631836,0,,,0,0,0,0
15,0.0,True,True,10.299999999999825,40.064201731586486,0.0,0.0,9.435144424438477,10.299412727355957,6.808596611022949,0,9.435144424438477,10.299999999999825,0,0,0,0
16,1.0,True,False,inf,,0.0,0.0,15.064647674560547,0.0,15.064647674560547,0,,,0,0,0,0
17,1.0,True,False,inf,,0.0,0.0,15.170970916748047,0.0,15.170970916748047,0,,,0,0,0,0
