dataset,method_a,method_b,jaccard_topk,spearman_rank,delta_l2
data_wgs,ig_boundarycrawler,ig_gs,0.7356868131868132,0.7330536206066608,1.311937250494957
data_wgs,ig_boundarycrawler,ks_boundarycrawler,1.0,1.0000000876188277,4.8148630044408945e-06
data_wgs,ig_boundarycrawler,ks_gs,0.7356868131868132,0.7330536206066608,1.3119382001459599
data_wgs,ig_boundarycrawler,ks_zero,0.6848151848151848,0.6290893299970776,1.422131273597479
data_wgs,ig_boundarycrawler,lime_boundarycrawler,0.9572727272727274,0.9917679034173489,0.15306546783074737
data_wgs,ig_boundarycrawler,lime_gs,0.7321145521145521,0.7353839761018753,1.2772099888324737
data_wgs,ig_boundarycrawler,lime_zero,0.6849367299367298,0.6312679027486593,1.3802624045312404
data_wgs,ig_gs,ks_boundarycrawler,0.7356868131868132,0.7330536206066608,1.3119372473657132
data_wgs,ig_gs,ks_gs,1.0,1.0000000828504563,5.151441757647035e-06
data_wgs,ig_gs,ks_zero,0.6705969030969031,0.49035717656952327,1.9369969069957733
data_wgs,ig_gs,lime_boundarycrawler,0.7321844821844822,0.7300982626527548,1.3186543771624566
data_wgs,ig_gs,lime_gs,0.9710606060606061,0.9896518425643444,0.1544496645219624
data_wgs,ig_gs,lime_zero,0.6695770895770896,0.4912321781250648,1.9019019284844398
data_wgs,ig_zero,ig_boundarycrawler,0.6848151848151848,0.6290893299970776,1.4221320822834969
data_wgs,ig_zero,ig_gs,0.6705969030969031,0.49035717656952327,1.9369974133372307
data_wgs,ig_zero,ks_boundarycrawler,0.6848151848151848,0.6290893299970776,1.4221334578096867
data_wgs,ig_zero,ks_gs,0.6705969030969031,0.49035717656952327,1.9369989593327046
data_wgs,ig_zero,ks_zero,1.0,1.000000089108944,3.869353534469155e-06
data_wgs,ig_zero,lime_boundarycrawler,0.6901215451215451,0.6259911111276597,1.4239851640164851
data_wgs,ig_zero,lime_gs,0.6686921411921412,0.4942678946373053,1.9030375134944917
data_wgs,ig_zero,lime_zero,0.9845454545454545,0.997285784035921,0.1638781252503395
data_wgs,ks_boundarycrawler,ks_gs,0.7356868131868132,0.7330536206066608,1.3119381915032864
data_wgs,ks_zero,ks_boundarycrawler,0.6848151848151848,0.6290893299970776,1.422132657021284
data_wgs,ks_zero,ks_gs,0.6705969030969031,0.49035717656952327,1.9369984593987466
data_wgs,lime_boundarycrawler,ks_boundarycrawler,0.9572727272727274,0.9917679034173489,0.1530670995824039
data_wgs,lime_boundarycrawler,ks_gs,0.7321844821844822,0.7300982626527548,1.3186555109918117
data_wgs,lime_boundarycrawler,ks_zero,0.6901215451215451,0.6259911111276597,1.4239844971895217
data_wgs,lime_boundarycrawler,lime_gs,0.7306168831168831,0.7355446913093329,1.270515711158514
data_wgs,lime_gs,ks_boundarycrawler,0.7321145521145521,0.7353839761018753,1.2772101555764674
data_wgs,lime_gs,ks_gs,0.9710606060606061,0.9896518425643444,0.1544512428343296
data_wgs,lime_gs,ks_zero,0.6686921411921412,0.4942678946373053,1.9030370914936066
data_wgs,lime_zero,ks_boundarycrawler,0.6849367299367298,0.6312679027486593,1.380263995975256
data_wgs,lime_zero,ks_gs,0.6695770895770896,0.4912321781250648,1.9019036041200161
data_wgs,lime_zero,ks_zero,0.9845454545454545,0.997285784035921,0.16387922544032335
data_wgs,lime_zero,lime_boundarycrawler,0.69009657009657,0.6283571839239448,1.369275214970112
data_wgs,lime_zero,lime_gs,0.6671353646353646,0.49511610764078795,1.8602118231356144
