dataset,method_a,method_b,jaccard_topk,spearman_rank,delta_l2
data_wgs,ig_boundarycrawler,ig_gs,0.6858707958707959,0.5496875381446443,1.5383809097856282
data_wgs,ig_boundarycrawler,ks_boundarycrawler,0.8942890442890443,0.967589343637228,0.2011258335702587
data_wgs,ig_boundarycrawler,ks_gs,0.6758150183150182,0.5435089619358768,1.5424625112116337
data_wgs,ig_boundarycrawler,ks_zero,0.6240817515817515,0.16680358237664525,3.4764063292741776
data_wgs,ig_boundarycrawler,lime_boundarycrawler,0.9091317016317016,0.9602321991324425,0.2366757584735751
data_wgs,ig_boundarycrawler,lime_gs,0.6762762237762238,0.5481607523863203,1.5156184674799442
data_wgs,ig_boundarycrawler,lime_zero,0.628492340992341,0.16205357976956292,3.6688454538583755
data_wgs,ig_gs,ks_boundarycrawler,0.6748110223110223,0.543169678626582,1.5402786100655794
data_wgs,ig_gs,ks_gs,0.8854945054945056,0.9573214884847403,0.22839723798493047
data_wgs,ig_gs,ks_zero,0.6012379287379287,0.1447857253778881,3.4799020835757255
data_wgs,ig_gs,lime_boundarycrawler,0.6740051615051615,0.5497857484244741,1.5257195483148098
data_wgs,ig_gs,lime_gs,0.8863686313686314,0.9497589847072959,0.25969435032388916
data_wgs,ig_gs,lime_zero,0.6081526806526807,0.1260267921144453,3.664548543393612
data_wgs,ig_zero,ig_boundarycrawler,0.6396928071928072,0.20041072457128514,3.281393939256668
data_wgs,ig_zero,ig_gs,0.6098135198135197,0.16170536426551796,3.312730221450329
data_wgs,ig_zero,ks_boundarycrawler,0.6303979353979353,0.20047322644778373,3.2873317962884903
data_wgs,ig_zero,ks_gs,0.6111088911088911,0.1686875109630637,3.31920214638114
data_wgs,ig_zero,ks_zero,0.7312096237096237,0.8666161270067095,0.8241188910510391
data_wgs,ig_zero,lime_boundarycrawler,0.6372319347319347,0.19989287093630992,3.306568968296051
data_wgs,ig_zero,lime_gs,0.6193914418914419,0.1706071531190537,3.328916300088167
data_wgs,ig_zero,lime_zero,0.7501881451881453,0.8745268397033215,0.8665155309997499
data_wgs,ks_boundarycrawler,ks_gs,0.674627872127872,0.5544643231434747,1.5244488176703452
data_wgs,ks_zero,ks_boundarycrawler,0.6193922743922744,0.17125893851101864,3.478109258711338
data_wgs,ks_zero,ks_gs,0.5987112887112886,0.1569017932349428,3.481509935259819
data_wgs,lime_boundarycrawler,ks_boundarycrawler,0.8890268065268065,0.9556964844465256,0.20804378135129808
data_wgs,lime_boundarycrawler,ks_gs,0.6720163170163169,0.5429732508101733,1.5226303961873056
data_wgs,lime_boundarycrawler,ks_zero,0.6208574758574759,0.1672232251567766,3.495285902619362
data_wgs,lime_boundarycrawler,lime_gs,0.6764968364968366,0.5617589679697994,1.4841371343284846
data_wgs,lime_gs,ks_boundarycrawler,0.6686896436896437,0.5431786096340511,1.5091123117506504
data_wgs,lime_gs,ks_gs,0.8661971361971362,0.9364286291971803,0.2199700961121441
data_wgs,lime_gs,ks_zero,0.6008974358974358,0.15284822470291207,3.4900923591852187
data_wgs,lime_zero,ks_boundarycrawler,0.6216600066600066,0.16410715185222216,3.6709288665652275
data_wgs,lime_zero,ks_gs,0.601042291042291,0.1362232219724683,3.6651415634155273
data_wgs,lime_zero,ks_zero,0.7236330336330336,0.8715714829415083,0.6955805715173483
data_wgs,lime_zero,lime_boundarycrawler,0.6280694305694305,0.16949108144268393,3.690225255191326
data_wgs,lime_zero,lime_gs,0.6130544455544455,0.1418303665557954,3.6758985114097595
