dataset,method_a,method_b,jaccard_topk,spearman_rank,delta_l2
data_wgs,ig_boundarycrawler,ig_gs,0.7448869047619047,0.7133570991382003,4.51601337005198
data_wgs,ig_boundarycrawler,ks_boundarycrawler,0.9506904761904762,0.9800237767100334,0.5036905439076815
data_wgs,ig_boundarycrawler,ks_gs,0.7404345238095238,0.7094404328018427,4.553061789508909
data_wgs,ig_boundarycrawler,ks_zero,0.5231369047619047,0.12372618310619146,16.32857216346264
data_wgs,ig_boundarycrawler,lime_boundarycrawler,0.9602619047619046,0.9824999678730965,0.537906509688124
data_wgs,ig_boundarycrawler,lime_gs,0.7435059523809524,0.7097975753685459,4.5175128099024295
data_wgs,ig_boundarycrawler,lime_zero,0.513720238095238,0.1083095174105838,17.32292870736122
data_wgs,ig_gs,ks_boundarycrawler,0.7451071428571429,0.7120475752986968,4.509192099295556
data_wgs,ig_gs,ks_gs,0.9398214285714286,0.97520235093683,0.5406900961699163
data_wgs,ig_gs,ks_zero,0.5263511904761905,0.11795237419568003,16.573121512889863
data_wgs,ig_gs,lime_boundarycrawler,0.7414166666666666,0.7113332896828651,4.498362306181342
data_wgs,ig_gs,lime_gs,0.9477916666666666,0.972857113301754,0.5621463243271385
data_wgs,ig_gs,lime_zero,0.5220297619047619,0.10541666090209037,17.559018162965774
data_wgs,ig_zero,ig_boundarycrawler,0.5508988095238095,0.16189284640457483,18.196798028230667
data_wgs,ig_zero,ig_gs,0.5552678571428571,0.14435713379550724,18.479248070836068
data_wgs,ig_zero,ks_boundarycrawler,0.5545178571428571,0.16264284672960638,18.178290093541147
data_wgs,ig_zero,ks_gs,0.555779761904762,0.14139284824207426,18.47256889426708
data_wgs,ig_zero,ks_zero,0.7838452380952381,0.8723690025471151,6.494509934067726
data_wgs,ig_zero,lime_boundarycrawler,0.5531607142857142,0.16164284657966346,18.190477528691293
data_wgs,ig_zero,lime_gs,0.5550654761904762,0.14382141975779086,18.46938469040394
data_wgs,ig_zero,lime_zero,0.777797619047619,0.8732499553114176,6.48020794698596
data_wgs,ks_boundarycrawler,ks_gs,0.7469285714285715,0.7152618612367659,4.490753556266427
data_wgs,ks_zero,ks_boundarycrawler,0.5271964285714286,0.12410713587421923,16.299994938135146
data_wgs,ks_zero,ks_gs,0.5290416666666666,0.11436904089711607,16.55448419690132
data_wgs,lime_boundarycrawler,ks_boundarycrawler,0.9583571428571429,0.9820237786471844,0.38464892949163915
data_wgs,lime_boundarycrawler,ks_gs,0.7403988095238095,0.7099166232068091,4.498498230066151
data_wgs,lime_boundarycrawler,ks_zero,0.525875,0.12451189735904336,16.309062482118605
data_wgs,lime_boundarycrawler,lime_gs,0.7442857142857142,0.7129047191664577,4.439592765372247
data_wgs,lime_gs,ks_boundarycrawler,0.744904761904762,0.7105118609648198,4.475511032171547
data_wgs,lime_gs,ks_gs,0.937297619047619,0.9673452087491751,0.40999150308957566
data_wgs,lime_gs,ks_zero,0.528452380952381,0.11811904045939446,16.551105296015738
data_wgs,lime_zero,ks_boundarycrawler,0.5177738095238095,0.10819047023262829,17.294723617911337
data_wgs,lime_zero,ks_gs,0.5244821428571428,0.10172618485894054,17.54053188896179
data_wgs,lime_zero,ks_zero,0.8880297619047619,0.9575118669867515,2.610245811894536
data_wgs,lime_zero,lime_boundarycrawler,0.5158214285714285,0.10905951706971974,17.312717048764227
data_wgs,lime_zero,lime_gs,0.522952380952381,0.1058809463120997,17.545017076015473
